party,seats,sq_cabinet,sq_pm,election_year,base,miw_new,banzhaf,shapley,splus,country,cabinet_id,party_id,cabinet_name,caretaker,cabinet_party,prime_minister,left_rightx,left_righty,cabinet_seats,total_cabinet_size,party_count,cab_count,party_name,party_name_english,country_id,election_id,seats_share,election_date,start_date,post_election,enpp,mingov,bicameral,largest_parl,largest_cab,lag_largest_parl,lag_largest_cab,seats_total,miw_proportion,cabinet_proportion,seats_proportion,W,A,B,B_star,C,D,E,country_dummy1,country_dummy2,country_dummy3,country_dummy4,country_dummy5,country_dummy6,country_dummy7,country_dummy8,country_dummy9,country_dummy10,country_dummy11,country_dummy12,country_dummy13,coalition_total
SD,47,0,0,2005,47,5,.27586207,.29523811,.27029535,DNK,316,1629,Rasmussen F II,0,0,0,3.8689841,3.8,0,19,8,2,Socialdemokraterne,Social Democrats,21,563,26.256983,2/8/2005,2/18/2005,1,5.1061354,1,0,0,0,0,0,175,.2631579,0,.26857144,88,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
OVP,77,0,0,1986,77,1,.33333334,.33333334,.31720996,AUT,873,1013,Vranitzky II,0,1,0,6.3666666,5.8,10,17,4,2,sterreichische Volkspartei,Austrian People's Party,59,235,42.076504,11/23/1986,1/21/1987,1,2.633404,0,1,0,0,0,0,183,.33333334,.58823532,.42076501,92,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,157
MP,20,0,0,1988,20,1,.050000001,.06666667,.051401526,SWE,220,1154,Carlsson II,0,0,0,3.3733334,,0,15,6,0,Miljæpartiet de Græna,Greens,35,428,5.730659,9/18/1988,9/18/1988,1,3.665062,1,0,0,0,0,0,349,.11111111,0,.057306591,175,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
NONE,5,0,0,2007,5,2,.069767445,.085714288,.058340356,IRL,864,30,Ahern III,0,0,0,,,0,15,7,3,no party affiliation,no party affiliation,37,190,3.0120482,5/24/2007,6/14/2007,1,3.0063276,0,1,0,0,0,0,169,.11764706,0,.029585799,85,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
DNA,64,1,1,2009,64,4,.46153846,.46666667,.43794692,NOR,551,104,Stoltenberg III,0,1,1,3.2388889,3,12,21,7,3,Det norske Arbeiderparti,Norwegian Labour Party,9,285,37.869823,9/24/2009,10/20/2009,1,4.0667806,0,0,1,1,1,1,169,.36363637,.5714286,.37869823,85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,86
KOK,50,1,0,2007,50,5,.30769232,.30952382,.29363957,FIN,277,1118,Vanhanen II,0,1,0,7.1597778,7.2,8,20,9,4,Kansallinen Kokoomus _ Samlingspartiet,National Coalition Party,67,314,25,3/18/2007,4/19/2007,1,5.1308365,0,0,0,0,0,0,199,.2631579,.40000001,.25125629,100,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,125
ADR,5,0,0,1994,5,1,.07692308,.06666667,.051091559,LUX,222,1582,Santer III,0,0,0,6.3157895,,0,15,5,2,Alternativ Demokratesch Reformpartei _ Parti r_formiste d'alternative d_mocratique _ Alternative Demokratische Reformpartei,Alternative Democratic Reform Party,7,306,8.333333,6/12/1994,7/13/1994,1,3.8961039,0,0,0,0,0,0,60,.11111111,0,.083333336,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
FPO,18,1,0,1986,18,1,.33333334,.33333334,.31392694,AUT,873,50,Vranitzky II,0,0,0,8.2955556,6.8,0,17,4,2,Freiheitliche Partei sterreichs,Freedom Party of Austria,59,235,9.8360653,11/23/1986,1/21/1987,1,2.633404,0,1,0,0,0,0,183,.33333334,0,.098360658,92,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
PSD,81,0,0,2009,81,2,.23076923,.23333333,.21660167,PRT,858,1273,Socrates II,0,0,0,6.1769444,,0,17,5,1,Partido Social Democrata,Social Democratic Party,63,405,35.217392,9/27/2009,10/26/2009,1,3.13166,1,0,0,0,0,0,230,.22222222,0,.35217392,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
DLP,4,0,0,1997,4,3,.04878049,.071428575,.052325204,IRL,126,1580,Ahern I,0,0,0,1.8888889,,0,16,9,2,Democratic Left,Democratic Left,37,316,2.4096386,6/6/1997,6/26/1997,1,2.9926152,1,1,0,0,0,0,165,.10344828,0,.024242423,83,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
CDA,54,1,1,1989,54,15,.34588236,.3718254,.35640135,NLD,148,235,Lubbers III,0,1,1,5.8017777,5.7,6,14,9,2,Christen Democratisch Appl,Christian Democrats,8,627,36,9/6/1989,11/7/1989,1,3.7525017,0,1,1,1,1,1,150,.29411766,.42857143,.36000001,76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,103
FDP,43,1,0,1998,43,1,.16666667,.16666667,.12618405,DEU,107,543,Schroeder I,0,0,0,5.8064444,5.1,0,17,6,2,Freie Demokratische Partei,Free Democratic Party,54,679,6.4275036,9/27/1998,10/27/1998,1,3.3013034,0,1,0,0,0,0,669,.2,0,.064275034,335,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
OVP,60,1,0,1990,60,1,.33333334,.33333334,.28412992,AUT,524,1013,Vranitzky III,0,1,0,6.3666666,5.8,8,16,4,2,sterreichische Volkspartei,Austrian People's Party,59,325,32.786884,10/7/1990,12/17/1990,1,2.9930289,0,1,0,0,0,0,183,.33333334,.53333336,.32786885,92,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,140
CDS-PP,15,0,0,1995,15,1,.16666667,.16666667,.12483919,PRT,265,251,Guterres I,0,0,0,7.935,,0,21,5,1,Partido Popular,People's Party,63,216,6.521739,10/1/1995,10/28/1995,1,2.5572851,1,0,0,0,0,0,230,.2,0,.065217391,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
AB,8,1,0,1987,8,3,.13333334,.13333334,.11806605,ISL,279,1360,Palsson,0,0,0,2.2222222,,0,11,7,3,Al___ubandalagi_,People's Alliance,56,673,12.698413,4/25/1987,7/8/1987,1,5.3418574,0,0,0,0,0,0,63,.14285715,0,.12698413,32,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,
FP,17,0,0,1998,17,1,.054545455,.052380953,.037319362,SWE,503,892,Persson II,0,0,0,6.1551111,5.5,0,22,7,1,Folkpartiet,Liberals,35,33,4.8710604,9/21/1998,10/7/1998,1,4.293757,1,0,0,0,0,0,349,.06666667,0,.048710603,175,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
F,12,1,0,2003,12,1,.33333334,.33333334,.28784621,ISL,130,1455,Oddsson IV,0,1,0,3.8888889,,5,12,5,2,Frams_knarflokkurinn,Progressive Party,56,178,19.047619,5/10/2003,5/23/2003,1,3.7128158,0,0,0,0,0,0,63,.33333334,.41666666,.19047619,32,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34
F,7,1,0,2007,7,1,.16666667,.16666667,.12627737,ISL,558,1455,Haarde II,0,0,0,3.8888889,,0,12,5,2,Frams_knarflokkurinn,Progressive Party,56,265,11.111111,5/12/2007,5/24/2007,1,3.6246576,0,0,0,0,0,0,63,.2,0,.11111111,32,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
FPO,42,0,0,1994,42,1,.33333334,.33333334,.31424025,AUT,294,50,Vranitzky IV,0,0,0,8.2955556,6.8,0,17,5,2,Freiheitliche Partei sterreichs,Freedom Party of Austria,59,66,22.950819,10/9/1994,11/29/1994,1,3.7280419,0,1,0,0,0,0,183,.33333334,0,.22950819,92,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
NONE,1,0,0,1987,1,1,.027027028,.047619049,.010462763,IRL,77,30,Haughey III,0,0,0,,,0,16,7,1,no party affiliation,no party affiliation,37,43,1.8072289,2/17/1987,3/10/1987,1,2.8921075,1,1,0,0,0,0,165,.090909094,0,.0060606059,83,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
GRUE,47,0,0,1998,47,1,.16666667,.16666667,.14100757,DEU,107,772,Schroeder I,0,1,0,2.8744444,2.8,4,17,6,2,BÎÙndnis 90 / Die GrÎÙnen,Alliance 90 / Greens,54,679,7.0254111,9/27/1998,10/27/1998,1,3.3013034,0,1,0,0,0,0,669,.2,.25,.07025411,335,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,345
PSD,105,0,0,2002,105,7,.46000001,.46666667,.44477051,PRT,381,1273,Barroso,0,1,1,6.1769444,,16,18,6,2,Partido Social Democrata,Social Democratic Party,63,657,45.652172,3/17/2002,4/6/2002,1,2.5742092,0,0,1,1,0,0,230,.34999999,.8888889,.45652175,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,119
SAM,20,0,0,2003,20,1,.33333334,.33333334,.2996617,ISL,130,1006,Oddsson IV,0,0,0,4.2982458,,0,12,5,2,Samfylkingin,Social Democratic Alliance,56,178,31.746031,5/10/2003,5/23/2003,1,3.7128158,0,0,0,0,0,0,63,.33333334,0,.31746033,32,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
KD,33,0,0,2002,33,2,.086956523,.10476191,.083869472,SWE,641,282,Persson III,0,0,0,7.0141667,,0,25,7,1,Kristdemokraterna,Christian Democrats,35,156,9.4555874,9/15/2002,10/21/2002,1,4.2252402,1,0,0,0,0,0,349,.13333334,0,.094555877,175,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
SAP,161,0,0,1994,161,5,.83783782,.71428573,.69193554,SWE,528,904,Carlsson IV,0,1,1,3.3653333,2.9,22,22,7,1,Socialdemokraterna,Social Democrats,35,412,46.131805,9/18/1994,10/6/1994,1,3.5041573,1,0,1,1,1,0,349,.45454547,1,.46131805,175,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,161
PD,6,0,0,1989,6,1,.090909094,.1,.074579328,IRL,215,651,Haughey IV,0,1,0,7.9902778,,2,17,8,2,An Pairti Daonlathach,Progressive Democrats,37,590,3.6144578,6/15/1989,7/12/1989,1,2.9687567,1,1,0,0,0,0,164,.14285715,.11764706,.036585364,83,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,84
PSD,88,1,1,1995,88,1,.16666667,.16666667,.12485585,PRT,265,1273,Guterres I,0,0,0,6.1769444,,0,21,5,1,Partido Social Democrata,Social Democratic Party,63,216,38.260868,10/1/1995,10/28/1995,1,2.5572851,1,0,0,0,1,1,230,.2,0,.38260868,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
SJ,26,1,1,1999,26,2,.5,.5,.4577409,ISL,177,1342,Oddsson III,0,1,1,6.9444444,,6,12,5,2,Sj_lfst__isflokkurinn,Independence Party,56,592,41.26984,5/8/1999,5/28/1999,1,3.454308,0,0,1,1,1,1,63,.40000001,.5,.41269842,32,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38
H,28,1,1,1993,28,2,.15384616,.16666667,.14703733,NOR,572,1435,Brundtland IV,0,0,0,7.7388889,7.7,0,20,8,1,Hèyre,Conservative Party,9,404,16.969696,9/13/1993,9/13/1993,1,4.0411162,1,0,0,0,0,0,165,.18181819,0,.16969697,83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
BZO,7,0,0,2006,7,1,.14285715,.13333334,.1039996,AUT,583,1536,Gusenbauer,0,0,0,8.83,,0,15,5,2,Bªndnis Zukunft sterreich,Alliance for the Future of Austria,59,197,3.8251367,10/1/2006,1/11/2007,1,3.3789728,0,1,0,0,0,0,183,.14285715,0,.038251366,92,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
SP,32,1,0,1993,32,2,.15384616,.16666667,.14703733,NOR,572,702,Brundtland IV,0,0,0,5.3055556,5.8,0,20,8,1,Senterpartiet,Centre Party,9,404,19.39394,9/13/1993,9/13/1993,1,4.0411162,1,0,0,0,0,0,165,.18181819,0,.19393939,83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
SV,15,0,0,2005,15,2,.12727273,.11904762,.089648895,NOR,693,81,Stoltenberg II,0,1,0,1.4611111,1.2,5,19,7,3,Sosialistisk Venstreparti,Socialist Left Party,9,3,8.8757401,9/12/2005,10/17/2005,1,4.5617313,0,0,0,0,0,0,169,.13333334,.2631579,.088757396,85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,87
SAP,156,1,1,1988,156,4,.75,.66666669,.62571412,SWE,220,904,Carlsson II,0,1,1,3.3653333,2.9,15,15,6,0,Socialdemokraterna,Social Democrats,35,428,44.699139,9/18/1988,9/18/1988,1,3.665062,1,0,1,1,1,1,349,.44444445,1,.44699141,175,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,156
PS,115,1,1,1999,115,5,.8611111,.83333331,.7914592,PRT,5,725,Guterres II,0,1,1,4.0527778,,17,23,6,1,Partido Socialista,Socialist Party,63,352,50,10/10/1999,10/25/1999,1,2.6131198,1,0,1,1,1,1,230,.5,1,.5,116,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,115
FPO,33,0,0,1990,33,1,.33333334,.33333334,.28412992,AUT,524,50,Vranitzky III,0,0,0,8.2955556,6.8,0,16,4,2,Freiheitliche Partei sterreichs,Freedom Party of Austria,59,325,18.032787,10/7/1990,12/17/1990,1,2.9930289,0,1,0,0,0,0,183,.33333334,0,.18032786,92,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
AB,9,0,0,1991,9,1,.16666667,.16666667,.13886945,ISL,640,1360,Oddsson I,0,0,0,2.2222222,,0,11,5,2,Al___ubandalagi_,People's Alliance,56,274,14.285714,4/20/1991,4/30/1991,1,3.7764034,0,0,0,0,0,0,63,.2,0,.14285715,32,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
PD,4,0,0,1997,4,3,.04878049,.071428575,.052322704,IRL,126,651,Ahern I,0,1,0,7.9902778,,2,16,9,2,An Pairti Daonlathach,Progressive Democrats,37,316,2.4096386,6/6/1997,6/26/1997,1,2.9926152,1,1,0,0,0,0,165,.10344828,.125,.024242423,83,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,84
FR,10,0,0,1993,10,1,.07692308,.06666667,.050821941,NOR,572,351,Brundtland IV,0,0,0,9.244444400000001,9.4,0,20,8,1,Fremskrittspartiet,Progress Party,9,404,6.060606,9/13/1993,9/13/1993,1,4.0411162,1,0,0,0,0,0,165,.090909094,0,.060606062,83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
SJF,1,0,0,1987,1,1,.033333331,.033333331,.016302895,ISL,279,817,Palsson,0,0,0,,,0,11,7,3,Samt_k um jatnr_tti og f_lagshyggju,Association for Equality and Justice,56,673,1.5873016,4/25/1987,7/8/1987,1,5.3418574,0,0,0,0,0,0,63,.047619049,0,.015873017,32,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,
KRF,10,0,0,2009,10,1,.07692308,.06666667,.051007278,NOR,551,1538,Stoltenberg III,0,0,0,6.1333333,6.1,0,21,7,3,Kristelig Folkeparti,Christian Democratic Party,9,285,5.9171596,9/24/2009,10/20/2009,1,4.0667806,0,0,0,0,0,0,169,.090909094,0,.059171598,85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
LINKE,76,0,0,2009,76,1,.16666667,.16666667,.13022031,DEU,472,1227,Merkel II,0,0,0,1.1830556,,0,17,6,3,Die Linke,The Left,54,93,12.21865,9/27/2009,10/28/2009,0,4.8344789,0,1,0,0,0,0,622,.2,0,.1221865,312,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
OVP,52,1,0,1995,52,1,.33333334,.33333334,.30255806,AUT,323,1013,Vranitzky V,0,1,0,6.3666666,5.8,8,15,5,2,sterreichische Volkspartei,Austrian People's Party,59,162,28.4153,12/17/1995,3/12/1996,1,3.4858956,0,1,0,0,0,0,183,.33333334,.5714286,.28415301,92,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,123
CDU/CSU,294,1,1,1994,294,2,.5,.5,.47379762,DEU,778,808,Kohl V,0,1,1,6.1757778,6.7,15,18,6,3,Christlich Demokratische Union,Christian Democratic Union,54,595,36.309525,10/16/1994,11/17/1994,1,3.4458909,0,1,0,1,1,1,672,.40000001,.83333331,.4375,337,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,341
SJ,25,1,1,1995,25,5,.54166669,.53333336,.4943839,ISL,158,1342,Oddsson II,0,1,1,6.9444444,,6,11,6,2,Sj_lfst__isflokkurinn,Independence Party,56,82,39.682541,4/8/1995,4/13/1995,1,3.9492538,0,0,1,1,1,1,63,.38461539,.54545456,.3968254,32,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40
CSV,19,1,1,1999,19,3,.38461539,.40000001,.37912375,LUX,196,1234,Juncker II,0,1,1,6.7105263,,12,19,6,2,Chrschtlech Sozial Vollekspartei _ Parti populaire chr_tien social _ Christlich Soziale Volkspartei,Christian Social People's Party,7,299,31.666666,6/13/1999,8/7/1999,0,4.3373494,0,0,1,1,1,1,60,.33333334,.63157892,.31666666,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34
PCP,13,0,0,1995,13,1,.16666667,.16666667,.12469753,PRT,265,514,Guterres I,0,0,0,2.9222222,,0,21,5,1,Partido Comunista Portugus,Portuguese Communist Party,63,216,5.652174,10/1/1995,10/28/1995,1,2.5572851,1,0,0,0,0,0,230,.2,0,.05652174,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
DLP,4,1,0,1992,4,1,.06666667,.057142857,.033758767,IRL,748,1580,Reynolds II,0,0,0,1.8888889,,0,16,7,2,Democratic Left,Democratic Left,37,359,2.4096386,11/25/1992,1/12/1993,0,3.4969542,0,1,0,0,0,0,164,.06666667,0,.024390243,83,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
PDS,17,0,0,1990,17,1,.16666667,.16666667,.1325684,DEU,862,791,Kohl IV,0,0,0,1.1830556,,0,20,6,3,Partei des Demokratischen Sozialismus,Party for Democratic Socialism,54,445,2.5679758,12/2/1990,1/18/1991,1,3.1724627,0,1,0,0,0,0,654,.2,0,.025993884,328,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
F,13,1,0,1991,13,1,.16666667,.16666667,.14177749,ISL,640,1455,Oddsson I,0,0,0,3.8888889,,0,11,5,2,Frams_knarflokkurinn,Progressive Party,56,274,20.63492,4/20/1991,4/30/1991,1,3.7764034,0,0,0,0,0,1,63,.2,0,.20634921,32,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
A,7,1,0,1995,7,2,.125,.13333334,.11742493,ISL,158,228,Oddsson II,0,0,0,4.4444444,,0,11,6,2,Al___uflokkurinn,Social Democratic Party,56,82,11.111111,4/8/1995,4/13/1995,1,3.9492538,0,0,0,0,0,0,63,.15384616,0,.11111111,32,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
CDU/CSU,248,0,0,2002,248,1,.33333334,.33333334,.30080825,DEU,529,808,Schroeder II,0,0,0,6.1757778,6.7,0,14,6,2,Christlich Demokratische Union,Christian Democratic Union,54,385,31.509121,9/22/2002,10/22/2002,1,3.376034,0,1,0,0,0,0,603,.33333334,0,.41127694,302,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
VAS,20,1,0,1999,20,3,.040909089,.04404762,.041092318,FIN,352,1427,Lipponen II,0,1,0,2.3719444,,1,16,10,5,Vasemmistoliitto _ V_nsterf_rbundet,Left Alliance,67,15,10,3/21/1999,4/15/1999,1,5.1506567,0,0,0,0,0,0,198,.06818182,.06666667,.1010101,100,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,139
PVDD,2,0,0,2006,2,2,.015495868,.016666668,.013557454,NLD,69,990,Balkenende IV,0,0,0,,,0,16,10,3,Partij voor de Dieren,Party for the Animals,8,578,1.3333334,11/22/2006,2/22/2007,1,5.5391431,0,1,0,0,0,0,150,.014925373,0,.013333334,76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
CCD,29, ,,1994,29,29,.054465175,.046298984,.046309721,ITA,672,99,Berlusconi I,0,1,0,5.9066667,,2,27,21,5,Centro Cristiano Democratico,Christian Democratic Center,26,146,4.6031747,3/27/1994,5/11/1994,1,7.6707511,0,1,0,0,0,0,630,.046325877,.083333336,.046031747,316,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,358
KRF,4,1,0,1990,4,1,.020408163,.01904762,.01660691,DNK,11,1331,Schluter V,0,0,0,5.8095237,6.2,0,20,9,2,Kristeligt Folkeparti,Christian People's Party,21,157,2.2346368,12/12/1990,12/18/1990,1,4.5558085,1,0,0,0,0,0,175,.028571429,0,.022857143,88,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
